propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation
9199,Apartment,"Under Construction",Available,Albania,Tirana,Tirana,"Rruga 5 Maji","Rruga 5 Maji",102000,107,120,3,2,0,0,0
9197,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",89000,84,94,2,2,0,2020,0
9195,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",122206,108,125,2,2,0,0,0
9181,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Ali Demi |##| Brryli |##| Shkolla e Baletit","Ali Demi",60000,52,59,1,1,0,0,0
9172,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",104000,0,104,2,1,0,0,0
9170,Apartment,"Under Construction",Sold,Albania,Tirana,Tirana,"Fusha e Aviacionit |##| Laprake |##| Zogu I Zi","Fusha e Aviacionit",59100,74,83,2,2,0,0,0
9168,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kodra e  Diellit |##| Komuna e Parisit |##| Kopshti Botanik/Zoologjik","Kodra e  Diellit",67000,68,75,1,1,0,0,0
9154,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Stacioni I trenit","Stacioni I trenit",68000,0,88,1,1,0,0,0
9139,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",55000,0,65,1,1,0,0,0
9135,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Laprake |##| Zogu I Zi",Laprake,89800,0,110,2,2,0,0,0
9133,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Laprake |##| Zogu I Zi",Laprake,68000,0,82,2,0,0,0,0
9127,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Zogu I Zi","Zogu I Zi",53500,0,65,1,1,0,0,0
9125,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",88000,0,103,2,1,0,0,0
9122,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Materniteti i ri |##| Shkolla e Baletit |##| Tregu Elektrik","Materniteti i ri",80000,107,107,2,1,0,0,0
9107,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Myslym Shyri","Myslym Shyri",110000,75,82,2,1,0,0,0
9101,Apartment,"Under Construction",Available,Albania,Tirana,Tirana,"Rruga e Barrikadave","Rruga e Barrikadave",99000,60,66,1,1,0,2020,0
9100,Apartment,"Under Construction",Available,Albania,Tirana,Tirana,"Qender |##| Rruga e Barrikadave",Qender,110000,67,74,1,1,0,0,0
9099,Apartment,"Under Construction",Available,Albania,Tirana,Tirana,"9 kateshet |##| Rruga e Barrikadave","9 kateshet",165000,99,111,2,1,0,0,0
9080,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Blloku,Blloku,53000,45,45,1,1,0,0,0
9076,Apartment,Used,Available,Albania,Tirana,Tirana,"Rr. e  Elbasanit","Rr. e  Elbasanit",173000,0,154,4,2,0,0,0
9068,Apartment,New,Withdrawn,Albania,Tirana,Tirana,Qender,Qender,183000,102,102,2,2,0,0,0
9045,Apartment,New,Sold,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",78020,84,94,2,2,0,0,0
9041,Apartment,Used,Available,Albania,Tirana,Tirana,"9 kateshet |##| Pazari I ri |##| Qender |##| Selvia","9 kateshet",95000,70,83,1,1,0,0,0
9038,Apartment,Used,Sold,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",68000,60,60,1,1,0,0,0
9036,Apartment,Used,Available,Albania,Tirana,Tirana,Astiri,Astiri,76000,0,162,2,1,0,0,0
9032,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Selite,Selite,50000,0,71,2,1,0,0,0
9028,Apartment,New,Available,Albania,Tirana,Tirana,"9 kateshet |##| Pazari I ri |##| Qender","9 kateshet",177000,94,104,2,2,0,0,0
9023,Apartment,Used,Available,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",79000,0,129,2,2,0,0,0
9010,Apartment,New,Available,Albania,Tirana,Tirana,Qender,Qender,95000,0,68,0,1,0,0,0
9005,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",70000,85,94,2,0,0,0,0
8998,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Ali Demi |##| Brryli |##| Tregu Elektrik","Ali Demi",65000,80,85,2,2,0,0,0
8995,Apartment,"Under Construction",Withdrawn,Albania,Tirana,Tirana,"Rruga 5 Maji","Rruga 5 Maji",64500,84,84,2,1,0,0,0
8991,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rr. e  Elbasanit","Rr. e  Elbasanit",230000,102,102,2,2,0,0,0
8984,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Brryli |##| Materniteti i ri",Brryli,65000,66,66,2,1,0,0,0
8979,Apartment,Used,Available,Albania,Tirana,Tirana,Yzberisht,Yzberisht,62000,107,107,2,1,0,0,0
8974,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Dogana,Dogana,50000,97,97,2,1,0,0,0
8972,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Yzberisht,Yzberisht,65000,87,98,2,1,0,0,0
8970,Apartment,Used,Sold,Albania,Tirana,Tirana,"Blv. Zogu i Pare |##| Hipoteka |##| Stacioni I trenit","Blv. Zogu i Pare",90000,91,100,2,2,0,0,0
8964,Apartment,New,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,63000,90,96,2,1,0,0,0
8962,Apartment,New,Withdrawn,Albania,Tirana,Tirana,Dogana,Dogana,39000,63,53,1,1,0,0,0
8961,Apartment,New,Withdrawn,Albania,Tirana,Tirana,Dogana,Dogana,54000,86,72,2,2,0,0,0
8957,Apartment,Used,Sold,Albania,Tirana,Tirana,"Blv. Zogu i Pare |##| Plazh, Durres |##| Rruga Mine Peza |##| Stacioni I trenit","Blv. Zogu i Pare",71000,0,76,1,1,0,0,0
8956,Apartment,New,Sold,Albania,Tirana,Tirana,"Blv. Zogu i Pare |##| Rruga e Durresit |##| Rruga Mine Peza |##| Stacioni I trenit","Blv. Zogu i Pare",71000,76,76,1,1,0,0,0
8951,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",45000,80,80,1,1,0,0,0
8949,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",42000,54,54,1,1,0,0,0
8947,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",37000,56,66,1,1,0,0,0
8945,Apartment,Used,Available,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",75000,76,76,2,1,0,0,0
8939,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Durresit","Rruga e Durresit",65000,65,65,1,1,0,0,0
8924,Apartment,New,Sold,Albania,Tirana,Tirana,Laprake,Laprake,41000,0,52,1,1,0,0,0
8918,Apartment,Used,Available,Albania,Tirana,Tirana,Astiri,Astiri,58000,71,82,2,1,0,0,0
8916,Apartment,Used,Available,Albania,Tirana,Tirana,Astiri,Astiri,73000,95,109,2,2,0,0,0
8907,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Qender,Qender,105000,100,100,2,2,0,2001,0
8891,Apartment,New,Available,Albania,Tirana,Tirana,Laprake,Laprake,89000,96,112,2,2,0,0,0
8889,Apartment,New,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",62000,59,65,1,1,0,0,0
8863,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",60000,70,70,1,1,0,0,0
8828,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"9 kateshet","9 kateshet",96000,87,87,2,1,0,0,0
8822,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Astiri,Astiri,57000,78,90,2,1,0,0,0
5157,Apartment,Used,Available,Albania,Tirana,Tirana,Medreseja,Medreseja,100000,108,108,2,1,0,0,0
5156,Apartment,Used,Available,Albania,Tirana,Tirana,"Misto Mame","Misto Mame",80000,100,114,2,2,0,0,0
5155,Apartment,Used,Available,Albania,Tirana,Tirana,"Stacioni I trenit","Stacioni I trenit",50000,53,53,1,1,0,0,0
5147,Apartment,Used,Available,Albania,Tirana,Tirana,"Pallati me Shigjeta","Pallati me Shigjeta",65000,76,76,0,0,0,0,0
5144,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",88000,105,117,2,2,3,0,0
5138,Apartment,"Under construction",Withdrawn,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",82000,0,109,2,2,0,0,0
5137,Apartment,Used,Available,Albania,Tirana,Tirana,"Stadiumi Dinamo","Stadiumi Dinamo",200000,134,134,3,2,0,0,0
5135,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Blloku,Blloku,180000,106,113,2,2,0,0,0
5124,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Ali Demi","Ali Demi",33000,33,33,1,1,0,0,0
5123,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",36500,32,38,1,1,0,0,0
5114,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",67000,83,90,2,1,0,0,0
5111,Apartment,New,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",75250,80,89,2,2,0,0,0
5106,Apartment,Used,Available,Albania,Tirana,Tirana,"Blv.Bajram Curri","Blv.Bajram Curri",120000,116,116,2,1,0,0,0
5105,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",95000,111,110,2,2,3,0,0
5104,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",101000,110,110,2,2,3,0,0
5103,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Medreseja |##| Rruga e Dibres",Medreseja,130000,130,140,2,2,3,0,0
5100,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Shkolla e Bashkuar","Shkolla e Bashkuar",80000,90,100,2,1,0,0,0
5091,Apartment,Used,Available,Albania,Tirana,Tirana,"Rr. Qemal Stafa","Rr. Qemal Stafa",100000,91,101,2,1,0,0,0
5090,Apartment,New,Available,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",102410,116,133,2,2,0,0,0
5089,Apartment,New,Withdrawn,Albania,Tirana,Tirana,Laprake,Laprake,63500,75,75,1,1,0,0,0
5078,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",134000,118,128,2,2,3,0,0
5072,Apartment,"Under construction",Withdrawn,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",80000,0,93,2,1,0,0,0
5065,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",101000,105,115,2,2,3,0,0
5060,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",83000,64,70,1,1,2,0,0
5059,Apartment,New,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",81175,86,96,2,2,0,0,0
5054,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Selite,Selite,77000,127,137,2,1,0,0,0
5053,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,,,60000,0,62,1,1,0,0,0
5048,Apartment,New,Reserved,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",94500,95,105,2,2,0,0,0
5042,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",67000,0,89,0,0,0,0,0
5038,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Laprake,Laprake,53000,78,86,2,1,0,0,0
5029,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Astiri,Astiri,55500,65,74,1,1,0,0,0
5027,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",96000,114,123,2,2,3,0,0
5023,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Selvia,Selvia,120000,95,105,2,2,0,0,0
