propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation
7442,Apartment,New,Available,Albania,Tirana,Tirana,"Rr. "Mihal Grameno"","Rr. "Mihal Grameno"",67500,75,0,2,1,0,0,0
7440,Apartment,New,Sold,Albania,Tirana,Tirana,KMY,KMY,45720,114,0,2,2,0,0,0
7428,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaze e Re","Unaze e Re",600,60000,0,2,1,0,0,0
7416,Apartment,New,Sold,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",80000,73,0,2,1,0,0,0
7410,Apartment,New,Sold,Albania,Tirana,Tirana,"prane Liqenit","prane Liqenit",145000,145,0,3,2,0,0,0
7408,Apartment,New,Sold,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",147000,147,0,3,2,0,0,0
7406,Apartment,New,Sold,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",110000,124,124,2,2,0,0,0
7404,Apartment,New,Available,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",170000,110,120,2,2,0,0,0
7402,Apartment,New,Sold,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",68000,84,0,1,1,0,0,0
7376,Apartment,New,Sold,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",105000,102,0,2,1,0,0,0
7374,Apartment,New,Available,Albania,Tirana,Tirana,"prane Liqenit","prane Liqenit",200000,180,180,3,3,0,0,0
7372,Apartment,New,Sold,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",140000,118,118,2,1,0,0,0
7366,Apartment,New,Sold,Albania,Tirana,Tirana,Fresku,Fresku,50000,96,96,2,1,0,0,0
7364,Apartment,New,Available,Albania,Tirana,Tirana,"Rruga e Elbasanit","Rruga e Elbasanit",108000,90,0,2,1,0,0,0
7362,Apartment,New,Available,Albania,Tirana,Tirana,"Rr. "5 Maji"","Rr. "5 Maji"",85000,98,0,2,1,0,0,0
7350,Apartment,New,Sold,Albania,Tirana,Tirana,Bllok,Bllok,70000,60,0,2,1,0,0,0
7344,Apartment,New,Available,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",141300,157,0,4,3,0,0,0
7332,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Besim Imami"","Rr. "Besim Imami"",62000,68,0,0,0,0,0,0
7328,Apartment,New,Sold,Albania,Tirana,Tirana,Qender,Qender,145000,145,0,3,2,0,0,0
7326,Apartment,New,Sold,Albania,Tirana,Tirana,KMY,KMY,45000,107,0,3,2,0,0,0
7324,Apartment,New,Available,Albania,Tirana,Tirana,"Kompleksi Cabej","Kompleksi Cabej",76245,117,0,3,2,0,0,0
7318,Apartment,New,Sold,Albania,Tirana,Tirana,KMY,KMY,65000,137,0,3,2,0,0,0
7316,Apartment,New,Sold,Albania,Tirana,Tirana,"Pallatet "Cabej"","Pallatet "Cabej"",50784,106,0,2,2,0,0,0
7314,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Gjik Kuqali"","Rr. "Gjik Kuqali"",52000,57000,0,1,1,0,0,0
7310,Apartment,New,Sold,Albania,Tirana,Tirana,"Pranë KMY","Pranë KMY",30720,64,0,1,1,0,0,0
7306,Apartment,New,Available,Albania,Tirana,Tirana,"Pranë KMY","Pranë KMY",34000,85,0,1,1,0,0,0
7296,Apartment,New,Available,Albania,Tirana,Tirana,,,24500,35,0,1,0,0,0,0
7276,Apartment,New,Available,Albania,Tirana,Tirana,"Pranë "Harry Fultz"","Pranë "Harry Fultz"",130000,102,113,2,2,3,0,0
7268,Apartment,New,Sold,Albania,Tirana,Tirana,"Tregu Elektrik, Rr. "Petro Nini Luarasi"","Tregu Elektrik, Rr. "Petro Nini Luarasi"",100000,100,0,2,2,0,0,0
7266,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Myslym Shyri"","Rr. "Myslym Shyri"",138000,150,0,3,2,0,0,0
7232,Apartment,New,Sold,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",119000,140,140,3,2,0,0,0
7228,Apartment,New,Sold,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",120000,110,110,2,2,0,0,0
7202,Apartment,New,Sold,Albania,Tirana,Tirana,Oxhaku,Oxhaku,80000,100,0,2,1,0,0,0
7162,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Siri Kodra"","Rr. "Siri Kodra"",72000,75,0,2,1,0,0,0
7154,Apartment,New,Available,Albania,Tirana,Tirana,,,54480,68,0,1,1,0,0,0
7136,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Selvise","Prane Selvise",160000,114,0,2,2,0,0,0
7132,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Sami Frasheri"","Rr. "Sami Frasheri"",68200,44,0,1,1,0,0,0
7126,Apartment,"Under construction",Sold,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",141300,157,0,4,3,0,0,0
7122,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Myslym Shyri"","Rr. "Myslym Shyri"",100000,90,0,2,1,0,0,0
7104,Apartment,New,Sold,Albania,Tirana,Tirana,"Kopshti Botanik","Kopshti Botanik",170000,150,0,3,2,0,0,0
7102,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Selvise","Prane Selvise",105000,96,0,2,1,0,0,0
7096,Apartment,New,Sold,Albania,Tirana,Tirana,"Liqeni i Thatë","Liqeni i Thatë",149910,173,0,3,2,0,0,0
7094,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",93000,88,0,2,1,0,0,0
7086,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Faik Konica"","Rr. "Faik Konica"",170000,123,0,2,2,0,0,0
7082,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Faik Konica"","Rr. "Faik Konica"",213500,122,0,2,2,0,0,0
7080,Apartment,New,Sold,Albania,Tirana,Tirana,"Pranë Juridikut","Pranë Juridikut",171450,127,0,2,2,0,0,0
7076,Apartment,New,Sold,Albania,Tirana,Tirana,"Tregu Elektrik, Rr. "Petro Nini Luarasi"","Tregu Elektrik, Rr. "Petro Nini Luarasi"",63750,85,0,2,2,0,0,0
7074,Apartment,New,Sold,Albania,Tirana,Tirana,"Liqeni i Tiranës, pranë Kopshtit Zoologjik","Liqeni i Tiranës, pranë Kopshtit Zoologjik",103700,122,0,2,2,0,0,0
7072,Apartment,New,Sold,Albania,Tirana,Tirana,"prane Liqenit","prane Liqenit",115200,144,0,4,2,0,0,0
7070,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Qemal Stafa"","Rr. "Qemal Stafa"",123600,103,0,2,2,0,0,0
7068,Apartment,New,Sold,Albania,Tirana,Tirana,"prane Liqenit","prane Liqenit",100000,112,0,2,1,0,0,0
7064,Apartment,New,Sold,Albania,Tirana,Tirana,Oxhaku,Oxhaku,110000,120,0,2,2,0,0,0
