propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation,closed_price
45064,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kosovareve","Rruga e Kosovareve",72000,0,60,1,1,NULL,NULL,NULL,NULL
45030,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Yzberisht,Yzberisht,46000,0,60,1,1,NULL,NULL,NULL,NULL
44962,Apartment,New,Sold,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",87000,0,119,2,2,NULL,NULL,NULL,NULL
44958,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",77880,0,89,2,2,NULL,NULL,NULL,NULL
44940,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga Sami Frasheri","Rruga Sami Frasheri",150000,0,104,2,1,NULL,NULL,NULL,NULL
44862,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",180000,0,165,2,2,NULL,NULL,NULL,NULL
44857,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Selvia,Selvia,60000,0,52,0,1,NULL,NULL,NULL,NULL
44846,Apartment,New,Withdrawn,Albania,Tirana,Tirana,Selvia,Selvia,83000,0,73,1,1,NULL,NULL,NULL,NULL
44842,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Alidemi,Alidemi,68000,0,85,2,1,NULL,NULL,NULL,NULL
44784,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Oxhaku,Oxhaku,70000,0,95,2,2,NULL,NULL,NULL,NULL
44772,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Laprake,Laprake,56000,0,67,1,1,NULL,NULL,NULL,NULL
44764,Apartment,Used,Available,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",95000,0,109,2,1,NULL,NULL,NULL,NULL
